"interval_name","t","Method","Order.q","SC","qD","qD.LCL","qD.UCL","reference_t","quorum_level","interval_name_abb","MAX_DATE","MIN_DATE","MID.POINT"
"Rhuddanian",1,"Rarefaction",0,0.690909090909091,1.83333333333333,1.13842091329109,2.52824575337558,11,"0.5","Rh",443.8,440.8,442.3
"Aeronian",2.88675364467462,"Rarefaction",0,0.499998013377134,3.85339119437473,1.91455197220821,5.79223041654126,20,"0.5","Ae",440.8,438.5,439.65
"Telychian",7.38910932746967,"Rarefaction",0,0.50000011605569,9.76451280039108,6.8723817622194,12.6566438385628,37,"0.5","Te",438.5,433.4,435.95
"Sheinwoodian",7.12632594273612,"Rarefaction",0,0.499999861927454,7.51236255391937,4.25471439869141,10.7700107091473,29,"0.5","Sh",433.4,430.5,431.95
"Homerian",5.01980150793463,"Rarefaction",0,0.499999368477564,5.13230982951285,3.10489090262208,7.15972875640362,21,"0.5","Ho",430.5,427.4,428.95
"Gorstian",5.87881052962971,"Rarefaction",0,0.499999331777216,5.16209576872811,3.74243370801387,6.58175782944234,62,"0.5","Go",427.4,425.6,426.5
"Ludfordian",5.77333763172591,"Rarefaction",0,0.499998974088303,5.12091386480632,3.95459315996922,6.28723456964343,72,"0.5","Lu",425.6,423,424.3
"Pridoli",8.70444989266732,"Rarefaction",0,0.499999837269529,8.87263202298544,7.36856029792845,10.3767037480424,146,"0.5","Pr",423,419.2,421.1
"Lochkovian",20.231572642284,"Rarefaction",0,0.499999935994394,26.061777832184,22.3945998634196,29.7289558009485,307,"0.5","Lo",419.2,410.8,415
"Pragian",14.7791681336649,"Rarefaction",0,0.500000136307226,14.7746916653725,12.1321679930843,17.4172153376607,176,"0.5","Pra",410.8,407.6,409.2
"Emsian",21.9506799604686,"Rarefaction",0,0.500000071859343,22.2990124049941,18.3992496151692,26.1987751948189,199,"0.5","Em",407.6,393.3,400.45
"Eifelian",11.0154518994701,"Rarefaction",0,0.499999688229104,10.8405893590763,8.57660800006929,13.1045707180834,171,"0.5","Ei",393.3,387.7,390.5
"Givetian",14.2860721533674,"Rarefaction",0,0.500000231876449,13.2297580695839,10.7056608127457,15.7538553264222,144,"0.5","Gi",387.7,382.7,385.2
"Frasnian",20.1786006733322,"Rarefaction",0,0.499999960496637,17.3547328738895,11.1164963126315,23.5929694351475,107,"0.5","Fra",382.7,372.2,377.45
"Famennian",12.9512953818837,"Rarefaction",0,0.500000003632096,12.8532883530061,10.6571405976686,15.0494361083435,203,"0.5","Fam",372.2,358.9,365.55
"Tournaisian",16.4558014217403,"Rarefaction",0,0.500000313403838,21.3610408537905,18.8093611691942,23.9127205383868,439,"0.5","To",358.9,346.7,352.8
"Visean",18.2963987648375,"Rarefaction",0,0.499999966280228,27.9702841043336,25.5916165584663,30.3489516502009,635,"0.5","Vi",346.7,330.9,338.8
"Serpukhovian",20.2821375613942,"Rarefaction",0,0.500000060510432,24.8920825197139,22.2660460681804,27.5181189712475,428,"0.5","Se",330.9,323.2,327.05
"Bashkirian",15.6871361096144,"Rarefaction",0,0.499999537402972,16.4032959975694,14.2961588429137,18.510433152225,380,"0.5","Ba",323.2,315.2,319.2
"Moscovian",19.8388725175455,"Rarefaction",0,0.500000020300005,22.8418911907073,20.1760986787797,25.5076837026349,469,"0.5","Mo",315.2,307,311.1
"Kasimovian",15.4740415179046,"Rarefaction",0,0.499999835868245,15.0646533550422,13.223106154852,16.9062005552325,346,"0.5","Ka",307,303.7,305.35
"Gzhelian",17.0132092152258,"Rarefaction",0,0.49999994398582,16.4767020712958,14.4379111796839,18.5154929629077,365,"0.5","Gz",303.7,298.9,301.3
"Asselian",6.47491478369282,"Rarefaction",0,0.500000263341122,5.41585925961253,4.141603268225,6.69011525100007,143,"0.5","As",298.9,293.52,296.21
"Sakmarian",6.64334269463445,"Rarefaction",0,0.499999718620017,5.69695992112231,3.99884510273464,7.39507473950998,130,"0.5","Sa",293.52,290.1,291.81
"Artinskian",7.4930035896877,"Rarefaction",0,0.500000338757044,6.57397171712549,5.0756036308846,8.07233980336637,145,"0.5","Ar",290.1,283.5,286.8
"Kungurian",6.55103131073235,"Rarefaction",0,0.500000661163104,5.72902648559164,4.47391473911985,6.98413823206344,128,"0.5","Ku",283.5,273.01,278.255
"Roadian",8.08215917152046,"Rarefaction",0,0.499999991402688,7.11975775201009,4.6943104271264,9.54520507689379,139,"0.5","Ro",273.01,266.9,269.955
"Wordian",2.43049808095859,"Rarefaction",0,0.500000011501995,2.06493557606035,1.23707596232167,2.89279518979904,64,"0.5","Wo",266.9,264.28,265.59
"Capitanian",2.16003235815426,"Rarefaction",0,0.499997622845142,1.88592405652259,0.90983939905988,2.86200871398529,62,"0.5","Ca",264.28,259.51,261.895
"Wuchiapingian",4.09627548851709,"Rarefaction",0,0.50000061131204,3.2788327908975,1.49431488479095,5.06335069700406,74,"0.5","Wu",259.51,254.14,256.825
"Changhsingian",2.10132849792126,"Rarefaction",0,0.499998077437305,1.81006476429056,1.0959886573256,2.52414087125551,58,"0.5","Cha",254.14,252,253.021
"Rhuddanian",1,"Rarefaction",0,0.690909090909091,1.83333333333333,1.17085077152428,2.49581589514239,11,"0.6","Rh",443.8,440.8,442.3
"Aeronian",3.98824854609847,"Rarefaction",0,0.600000723494141,4.7722567715983,2.13648356008709,7.40802998310952,20,"0.6","Ae",440.8,438.5,439.65
"Telychian",9.88641490811535,"Rarefaction",0,0.599999775359512,11.8321503089739,8.66555144261148,14.9987491753363,37,"0.6","Te",438.5,433.4,435.95
"Sheinwoodian",9.23070413911589,"Rarefaction",0,0.599999255025843,8.88400016297312,4.06906573508007,13.6989345908662,29,"0.6","Sh",433.4,430.5,431.95
"Homerian",6.48710580923522,"Rarefaction",0,0.599998773832831,6.05307538849449,3.12531919774021,8.98083157924878,21,"0.6","Ho",430.5,427.4,428.95
"Gorstian",8.35373821171459,"Rarefaction",0,0.60000024339359,6.51433808493527,4.75095482152555,8.277721348345,62,"0.6","Go",427.4,425.6,426.5
"Ludfordian",8.22840731777093,"Rarefaction",0,0.599999532971295,6.47788066686598,4.98967463284093,7.96608670089103,72,"0.6","Lu",425.6,423,424.3
"Pridoli",13.1221590821721,"Rarefaction",0,0.599999648922908,11.7127317780644,9.64862509970383,13.776838456425,146,"0.6","Pr",423,419.2,421.1
"Lochkovian",31.3108678348314,"Rarefaction",0,0.599999942687172,35.2989937484515,30.5012235925027,40.0967639044003,307,"0.6","Lo",419.2,410.8,415
"Pragian",21.7474774011357,"Rarefaction",0,0.600000078753067,19.1919875847911,16.0591990034645,22.3247761661178,176,"0.6","Pra",410.8,407.6,409.2
"Emsian",33.2650803360725,"Rarefaction",0,0.600000090620027,29.6509768141825,24.9806709760333,34.3212826523316,199,"0.6","Em",407.6,393.3,400.45
"Eifelian",16.5543622051921,"Rarefaction",0,0.59999964461218,14.2872759483978,11.2941299303918,17.2804219664038,171,"0.6","Ei",393.3,387.7,390.5
"Givetian",22.517229719302,"Rarefaction",0,0.600000117031061,18.0956234290612,14.6067739258109,21.5844729323116,144,"0.6","Gi",387.7,382.7,385.2
"Frasnian",29.7779455014472,"Rarefaction",0,0.599999873516146,22.5607172904823,16.3868137683932,28.7346208125714,107,"0.6","Fra",382.7,372.2,377.45
"Famennian",19.2563128435098,"Rarefaction",0,0.599999961294471,16.8057250364465,13.4555805092164,20.1558695636767,203,"0.6","Fam",372.2,358.9,365.55
"Tournaisian",24.1638879342892,"Rarefaction",0,0.600000051462596,27.69606622597,24.0021035408339,31.3900289111062,439,"0.6","To",358.9,346.7,352.8
"Visean",26.5899958748888,"Rarefaction",0,0.599999916026155,35.9975802167799,32.5259067422019,39.4692536913578,635,"0.6","Vi",346.7,330.9,338.8
"Serpukhovian",29.7173231275947,"Rarefaction",0,0.600000098896103,32.2172143500745,29.1041265740995,35.3303021260495,428,"0.6","Se",330.9,323.2,327.05
"Bashkirian",22.7841107151774,"Rarefaction",0,0.59999983629328,21.0918142541128,18.7274144960741,23.4562140121516,380,"0.6","Ba",323.2,315.2,319.2
"Moscovian",29.7652208405378,"Rarefaction",0,0.600000063477248,30.1085469705043,26.482748995626,33.7343449453826,469,"0.6","Mo",315.2,307,311.1
"Kasimovian",22.6088131716542,"Rarefaction",0,0.600000116533668,19.4558492868606,17.4601042461426,21.4515943275786,346,"0.6","Ka",307,303.7,305.35
"Gzhelian",25.6228592344449,"Rarefaction",0,0.599999895792378,21.7730664843019,18.1206134714205,25.4255194971833,365,"0.6","Gz",303.7,298.9,301.3
"Asselian",10.1966483072953,"Rarefaction",0,0.599999999173451,7.37334653598774,5.66701517484403,9.07967789713145,143,"0.6","As",298.9,293.52,296.21
"Sakmarian",10.822973692238,"Rarefaction",0,0.599999811153244,7.95713423339491,5.5908717044576,10.3233967623322,130,"0.6","Sa",293.52,290.1,291.81
"Artinskian",12.3800394014379,"Rarefaction",0,0.600000008511548,9.28476589961514,7.13565728570003,11.4338745135303,145,"0.6","Ar",290.1,283.5,286.8
"Kungurian",10.9490944749956,"Rarefaction",0,0.599999867715937,8.1540988453617,5.33125697333953,10.9769407173839,128,"0.6","Ku",283.5,273.01,278.255
"Roadian",13.6416439138521,"Rarefaction",0,0.600000022857211,10.2168277561875,5.85918568628177,14.5744698260931,139,"0.6","Ro",273.01,266.9,269.955
"Wordian",4.1044610201603,"Rarefaction",0,0.599999636759404,2.9268784019108,1.42067910213729,4.43307770168431,64,"0.6","Wo",266.9,264.28,265.59
"Capitanian",3.5113497768439,"Rarefaction",0,0.599999370397989,2.58568048846192,1.00947831180194,4.16188266512191,62,"0.6","Ca",264.28,259.51,261.895
"Wuchiapingian",8.74946811017572,"Rarefaction",0,0.600000219499694,5.56563833471793,0,11.6349822962589,74,"0.6","Wu",259.51,254.14,256.825
"Changhsingian",3.90857440168928,"Rarefaction",0,0.600000410300776,2.71127397706327,1.08401470539268,4.33853324873387,58,"0.6","Cha",254.14,252,253.021
"Rhuddanian",1.06945811578559,"Rarefaction",0,0.699999145764712,1.8726929322785,1.38636322421381,2.35902264034319,11,"0.7","Rh",443.8,440.8,442.3
"Aeronian",5.55699595688454,"Rarefaction",0,0.699998171322171,5.75440253031506,1.65190587425552,9.8568991863746,20,"0.7","Ae",440.8,438.5,439.65
"Telychian",13.0647830065265,"Rarefaction",0,0.700000209825694,13.8710228528548,10.3059864396388,17.4360592660708,37,"0.7","Te",438.5,433.4,435.95
"Sheinwoodian",11.9434327648434,"Rarefaction",0,0.70000025065174,10.2598408009622,5.74222907514248,14.7774525267819,29,"0.7","Sh",433.4,430.5,431.95
"Homerian",8.3393818599466,"Rarefaction",0,0.699999165435886,6.96907035533039,3.01067419496828,10.9274665156925,21,"0.7","Ho",430.5,427.4,428.95
