GENUS;SPECIES;ORDER;FAMILY;SUBCLASS;GROUP_GINTER;SCM1;SCM2;SCM_average;DUPLICATE;PERIOD;EARLIEST;MAX_DATE;LATEST;MIN_DATE;MID POINT;LAZARUS;COLLECTION;FORMATION;CONTINENT 1;CONTINENT 2;CONTINENT 3;CONTINENT 4;CONTINENT 5;HEMISPHERE;LATITUDE;LONGITUDE;PALAEOLAT;PALAEOLONG;BA_0;BA_1;BA_2;BA_3;BA_4;BA_5;BA_6;SCALE_ONLY;FINSPINE_ONLY;TOOTH_ONLY
Antarctilamna?;sp.;Antarctilamniformes;Antarctilamnidae;;NA;2,1;2,6;1,3;N;Devonian;Emsian;407,6;Emsian;393,3;400,45;Y;La Paz area;Belén and Icla;Europe;X;X;X;X;N;;;;;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Antarctilamna?;sp.;Antarctilamniformes;Antarctilamnidae;;NA;2,1;2,6;1,3;N;Devonian;Givetian;387,7;Givetian;382,7;385,2;Y;Renanué village;Renanué section;South America;X;X;X;X;S;;;;;0;0;1;1;0;0;0;N;Y;N
Wellerodus;priscus;Antarctilamniformes;Antarctilamnidae;;NA;12,65;17,25;4,992857143;N;Devonian;Eifelian;393,3;Frasnian;372,2;382,75;N;Cairo quarry;;North America;X;X;X;X;N;;;;;1;1;0;0;1;1;0;N;N;N
Wellerodus;priscus;Antarctilamniformes;Antarctilamnidae;;NA;12,65;17,25;4,992857143;N;Devonian;Eifelian;393,3;Frasnian;372,2;382,75;N;Eighteen Mile Creek;North Evans Limestone;North America;X;X;X;X;N;;;;;1;1;0;0;1;1;0;N;N;N
Wellerodus;priscus;Antarctilamniformes;Antarctilamnidae;;NA;12,65;17,25;4,992857143;N;Devonian;Eifelian;393,3;Frasnian;372,2;382,75;N;Elmhurst;;North America;X;X;X;X;N;;;;;1;1;0;0;1;1;0;N;N;N
Coronodus;reimanni;Antarctilamniformes;Coronodontidae;;NA;0,5;0,5;0,5;N;Devonian;Givetian;387,7;Frasnian;372,2;379,95;N;Athol Springs;Genesee;North America;X;X;X;X;N;;;;;0;0;0;0;0;1;1;N;N;Y
Barbclabornia;luedersensis;Bransonelliformes;Incertae familiae;;Xenacanthimorpha;0,5;0,5;0,5;N;Permian;Asselian;298,9;Artinskian;283,5;291,2;N;Baylor Co.;Lueders;North America;X;X;X;X;N;;;;;1;1;0;0;0;0;0;N;N;Y
Barbclabornia;luedersensis;Bransonelliformes;Incertae familiae;;Xenacanthimorpha;0,5;0,5;0,5;Y;Permian;Asselian;298,9;Artinskian;283,5;291,2;N;Wolf Creek;Lueders;North America;X;X;X;X;N;;;;;1;1;0;0;0;0;0;N;N;Y
Barbclabornia;luedersensis;Bransonelliformes;Incertae familiae;;Xenacanthimorpha;0,5;0,5;0,5;Y;Permian;Asselian;298,9;Artinskian;283,5;291,2;N;Spring Creek;Lueders;North America;X;X;X;X;N;;;;;1;1;0;0;0;0;0;N;N;Y
Barbclabornia;luedersensis;Bransonelliformes;Incertae familiae;;Xenacanthimorpha;0,5;0,5;0,5;Y;Permian;Asselian;298,9;Artinskian;283,5;291,2;N;West Franklin Bend;Lueders;North America;X;X;X;X;N;;;;;1;1;0;0;0;0;0;N;N;Y
Barbclabornia;luedersensis;Bransonelliformes;Incertae familiae;;Xenacanthimorpha;0,5;0,5;0,5;Y;Permian;Asselian;298,9;Artinskian;283,5;291,2;N;Jefferson County;Dunkard Basin;North America;X;X;X;X;N;;;;;1;1;0;0;0;0;0;N;N;Y
Bransonella;cf. nebraskensis;Bransonelliformes;Incertae familiae;;Xenacanthimorpha;0,5;0,5;0,5;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Shahmirzad village;Mobarak;Asia;X;X;X;X;N;;;;;0;0;0;1;1;0;0;N;N;Y
Bransonella;lingulata;Bransonelliformes;Incertae familiae;;Xenacanthimorpha;0,5;0,5;0,5;N;Carboniferous;Serpukhovian;330,9;Serpukhovian;323,2;327,05;Y;Kalinovskie Vyselki Quarry;;Europe;X;X;X;X;N;;;;;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Bransonella;lingulata;Bransonelliformes;Incertae familiae;;Xenacanthimorpha;0,5;0,5;0,5;N;Carboniferous;Moscovian;315,2;Moscovian;307;311,1;Y;Buckhorn Asphalt Quarry;;North America;X;X;X;X;N;;;;;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Bransonella;nebraskensis;Bransonelliformes;Incertae familiae;;Xenacanthimorpha;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;Y;Kozhim River;;Europe;Asia;X;X;X;N;;;;;0;0;0;0;0;1;1;N;N;Y
Bransonella;nebraskensis;Bransonelliformes;Incertae familiae;;Xenacanthimorpha;0,5;0,5;0,5;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;Y;Todowa Grzaba;;Europe;Asia;X;X;X;N;;;;;0;0;0;0;0;1;1;N;N;Y
Bransonella;nebraskensis;Bransonelliformes;Incertae familiae;;Xenacanthimorpha;0,5;0,5;0,5;N;Carboniferous;Gzhelian;303,7;Gzhelian;298,9;301,3;Y;Nemaha County;;North America;X;X;X;X;N;;;;;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Bransonella;sp.;Bransonelliformes;Incertae familiae;;Xenacanthimorpha;14,375;14,375;7,4375;N;Carboniferous;Tournaisian;358,9;Serpukhovian;323,2;341,05;N;Lake Arbuckle;Caney Shale;North America;Asia;X;X;X;N;;;;;0;0;0;0;0;1;1;N;N;N
Bransonella;sp.;Bransonelliformes;Incertae familiae;;Xenacanthimorpha;14,375;14,375;7,4375;Y;Carboniferous;Tournaisian;358,9;Serpukhovian;323,2;341,05;N;Medynskaya-5 borehole;;North America;Asia;X;X;X;N;;;;;0;0;0;0;0;1;1;N;N;N
Bransonella;tridentata;Bransonelliformes;Incertae familiae;;Xenacanthimorpha;0,5;0,5;0,5;N;Carboniferous;Bashkirian;323,2;Bashkirian;315,2;319,2;N;Ouachita Mountains;Johns Valley shale;North America;X;X;X;X;N;;;;;0;0;0;0;0;0;1;N;N;Y
Similihariotta;dabasinskasi;Chimaeriformes;Chimaeridae;;Euchondrocephali;19,675;19,675;19,675;N;Carboniferous;Moscovian ;315,2;Moscovian ;307;311,1;N;Pit 11, Peabody Coal Company;Carbondale;North America;X;X;X;X;N;41,2;-88,2;-4,9;-23,2;0;1;0;0;0;0;0;N;N;N
Echinochimaera;elusiva;Chimaeriformes;Echinochimaeridae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Serpukhovian;323,2;334,95;N;Crawford County;Indian Springs Shale;North America;X;X;X;X;N;;;;;0;1;0;0;0;0;0;N;N;Y
Echinochimaera;indiana;Chimaeriformes;Echinochimaeridae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Serpukhovian;323,2;334,95;N;Crawford County;Indian Springs Shale;North America;X;X;X;X;N;;;;;0;1;0;0;0;0;0;N;N;Y
Echinochimaera;kellyi;Chimaeriformes;Echinochimaeridae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Serpukhovian;323,2;334,95;N;Crawford County;Indian Springs Shale;North America;X;X;X;X;N;;;;;0;1;0;0;0;0;0;N;N;Y
Echinochimaera;meltoni;Chimaeriformes;Echinochimaeridae;;Euchondrocephali;60,475;78,2;49,03333333;N;Carboniferous;Serpukhovian;330,9;Serpukhovian;323,2;327,05;N;Supercrop Quarry;Heath;North America;X;X;X;X;N;47;-108,9;4,1;-36,6;0;0;1;1;1;0;0;N;N;N
Echinochimaera;sulphurea;Chimaeriformes;Echinochimaeridae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Serpukhovian;323,2;334,95;N;Crawford County;Indian Springs Shale;North America;X;X;X;X;N;;;;;0;1;0;0;0;0;0;N;N;Y
Eucentrurus;paradoxus;Chondrenchelyiformes;Chondrenchelyidae;;Euchondrocephali;22,2;24,05;15,4625;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Ardross;Calciferous Sandstone Series;Europe;X;X;X;X;N;;;;;1;1;1;0;0;0;0;N;N;N
Harpagofututor;volsellorhinus;Chondrenchelyiformes;Chondrenchelyidae;;Euchondrocephali;75,625;89,375;52,90416667;N;Carboniferous;Serpukhovian;330,9;Serpukhovian;323,2;327,05;N;Supercrop Quarry;Heath;North America;X;X;X;X;N;47;-108,9;4,1;-36,6;0;0;1;1;1;0;0;N;N;N
Harpagofututor;volsellorhinus;Chondrenchelyiformes;Chondrenchelyidae;;Euchondrocephali;75,625;89,375;52,90416667;Y;Carboniferous;Serpukhovian;330,9;Serpukhovian;323,2;327,05;N;Three Pillars Quarry;Heath;North America;X;X;X;X;N;47;-108,9;4,1;-36,6;0;0;1;1;1;0;0;N;N;N
Platyxystrodus;alatus;Chondrenchelyiformes;Chondrenchelyidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Visé;;Europe;X;X;X;X;N;;;;;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Platyxystrodus;angustus;Chondrenchelyiformes;Chondrenchelyidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Armagh;Carboniferous Limestone;Europe;X;X;X;X;N;54,4;-6,7;-6,1;-1,8;1;1;1;0;0;0;0;N;N;Y
Platyxystrodus;bellulus;Chondrenchelyiformes;Chondrenchelyidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Kasimovian;307;Kasimovian;303,7;305,35;N;Danville;;North America;X;X;X;X;N;;;;;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Platyxystrodus;egertoni;Chondrenchelyiformes;Chondrenchelyidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Tournaisian;358,9;Serpukhovian;323,2;341,05;N;Bristol;;Europe;X;X;X;X;N;;;;;1;1;1;0;0;0;0;N;N;Y
Platyxystrodus;imitatus;Chondrenchelyiformes;Chondrenchelyidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Illinois;St. Louis limestone;North America;X;X;X;X;N;;;;;0;1;1;0;0;0;0;N;N;Y
Platyxystrodus;inconditus;Chondrenchelyiformes;Chondrenchelyidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Illinois and Iowa;Keokuk Limestone;North America;X;X;X;X;N;;;;;0;0;0;1;1;1;1;N;N;Y
Platyxystrodus;occidentalis;Chondrenchelyiformes;Chondrenchelyidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Bashkirian;323,2;Gzhelian;298,9;311,05;N;Nebraska;;North America;X;X;X;X;N;;;;;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Platyxystrodus;parkeri;Chondrenchelyiformes;Chondrenchelyidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Derbyshire;;Europe;X;X;X;X;N;;;;;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Platyxystrodus;pulchellus;Chondrenchelyiformes;Chondrenchelyidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Wensleydale;;Europe;X;X;X;X;N;;;;;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Platyxystrodus;simplex;Chondrenchelyiformes;Chondrenchelyidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Illinois;Burlington limestone;North America;X;X;X;X;N;;;;;0;0;1;1;0;0;0;N;N;Y
Platyxystrodus;striatus;Chondrenchelyiformes;Chondrenchelyidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Armagh;Carboniferous Limestone;Europe;X;X;X;X;N;54,4;-6,7;-6,1;-1,8;1;1;1;0;0;0;0;N;N;Y
Platyxystrodus;verus;Chondrenchelyiformes;Chondrenchelyidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Serpukhovian;323,2;334,95;N;Illinois;;North America;X;X;X;X;N;;;;;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Cladoselache;fyleri;Cladoselachiiformes;Cladoselachidae;Holocephali;Cladodontomorphi;51,375;79,175;25,11;N;Devonian;Famennian;372,2;Famennian;358,9;365,55;N;Berea;Cleveland Shale;North America;X;X;X;X;N;41,4;-81,9;-30,6;-30,1;0;0;0;0;1;1;0;N;N;N
Cladoselache;fyleri;Cladoselachiiformes;Cladoselachidae;Holocephali;Cladodontomorphi;51,375;79,175;25,11;Y;Devonian;Famennian;372,2;Famennian;358,9;365,55;N;Lindale;Cleveland Shale;North America;X;X;X;X;N;41,4;-81,9;-30,6;-30,1;0;0;0;0;1;1;0;N;N;N
Cladoselache;fyleri;Cladoselachiiformes;Cladoselachidae;Holocephali;Cladodontomorphi;51,375;79,175;25,11;Y;Devonian;Famennian;372,2;Famennian;358,9;365,55;N;Cleveland;Cleveland Shale;North America;X;X;X;X;N;41,4;-81,9;-30,6;-30,1;0;0;0;0;1;1;0;N;N;N
Cladoselache;fyleri;Cladoselachiiformes;Cladoselachidae;Holocephali;Cladodontomorphi;51,375;79,175;25,11;Y;Devonian;Famennian;372,2;Famennian;358,9;365,55;N;Big Creek;Cleveland Shale;North America;X;X;X;X;N;41,4;-81,9;-30,6;-30,1;0;0;0;0;1;1;0;N;N;N
Cladoselache;fyleri;Cladoselachiiformes;Cladoselachidae;Holocephali;Cladodontomorphi;51,375;79,175;25,11;Y;Devonian;Famennian;372,2;Famennian;358,9;365,55;N;Brooklyn;Cleveland Shale;North America;X;X;X;X;N;41,4;-81,9;-30,6;-30,1;0;0;0;0;1;1;0;N;N;N
Cladoselache;sp.;Cladoselachiiformes;Cladoselachidae;Holocephali;Cladodontomorphi;0,5;0,5;0,5;N;Devonian;Famennian;372,2;Famennian;358,9;365,55;N;Bedford;Cleveland Shale;North America;X;X;X;X;N;;;;;0;0;0;0;1;1;0;N;N;N
Cladoselache;sp.;Cladoselachiiformes;Cladoselachidae;Holocephali;Cladodontomorphi;0,5;0,5;0,5;Y;Devonian;Famennian;372,2;Famennian;358,9;365,55;N;Sheffield Township;Cleveland Shale;North America;X;X;X;X;N;;;;;0;0;0;0;1;1;0;N;N;N
Chitonodus;antiquus;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Burlington;Burlington limestone;North America;X;X;X;X;N;;;;;0;0;1;1;0;0;0;N;N;Y
Chitonodus;gibbus;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Bashkirian;315,2;330,95;N;Wensleydale;Yoredale Series;Europe;X;X;X;X;N;;;;;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Chitonodus;livatus;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Alton;St. Louis limestone;North America;X;X;X;X;N;;;;;0;1;1;0;0;0;0;N;N;Y
Chitonodus;springeri;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Iowa;Burlington limestone;North America;X;X;X;X;N;;;;;0;0;1;1;0;0;0;N;N;Y
Chitonodus;tribulis;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Iowa;Keokuk Limestone;North America;X;X;X;X;N;;;;;0;0;0;1;1;1;1;N;N;Y
Cochliodus;angustus;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Gzhelian;303,7;Gzhelian;298,9;301,3;N;Nebraska;Wabaunsee;North America;X;X;X;X;N;;;;;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Cochliodus;colei;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Armagh;Carboniferous Limestone;Europe;X;X;X;X;N;54,4;-6,7;-6,1;-1,8;1;1;1;0;0;0;0;N;N;Y
Cochliodus;contortus;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;3,35;3,35;1,07;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Armagh;Carboniferous Limestone;Europe;X;X;X;X;N;54,4;-6,7;-6,1;-1,8;1;1;1;0;0;0;0;N;N;N
Cochliodus;contortus;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;3,35;3,35;1,07;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Bristol;Carboniferous Limestone;Europe;X;X;X;X;N;51,5;-2,6;-8,6;1,1;1;1;1;0;0;0;0;N;N;N
Cochliodus;costatus;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Iowa;Burlington limestone;North America;X;X;X;X;N;;;;;0;0;1;1;0;0;0;N;N;Y
Cochliodus;egertoni;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Bristol;Carboniferous Limestone;Europe;X;X;X;X;N;51,5;-2,6;-8,6;1,1;1;1;1;0;0;0;0;N;N;Y
Cochliodus;laminaris;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Moscovian ;315,2;Moscovian ;307;311,1;N;Myachkovo;Carboniferous Limestone;Europe;X;X;X;X;N;55,5;38;12,4;30;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Cochliodus;latus;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Keokuk;Keokuk Limestone;North America;X;X;X;X;N;;;;;0;0;0;1;1;1;1;N;N;Y
Cochliodus;latus;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Des Moins Rapids;Keokuk Limestone;North America;X;X;X;X;N;;;;;0;0;0;1;1;1;1;N;N;Y
Cochliodus;latus;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Warsaw;Keokuk Limestone;North America;X;X;X;X;N;;;;;0;0;0;1;1;1;1;N;N;Y
Cochliodus;leidyi;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Serpukhovian;323,2;334,95;N;Chester;;North America;X;X;X;X;N;;;;;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Cochliodus;liratus;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;St. Louis;St. Louis limestone;North America;X;X;X;X;N;;;;;0;1;1;0;0;0;0;N;N;Y
Cochliodus;minimus;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Smiths Branch;Chouteau Limestone;North America;X;X;X;X;N;;;;;0;0;0;0;1;1;0;N;N;Y
Cochliodus;obliquus;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Missouri;St. Louis limestone;North America;X;X;X;X;N;;;;;0;1;1;0;0;0;0;N;N;Y
Cochliodus;oblongus;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Armagh;Carboniferous Limestone;Europe;X;X;X;X;N;54,4;-6,7;-6,1;-1,8;1;1;1;0;0;0;0;N;N;Y
Cochliodus;occidentalis;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Illinois;St. Louis limestone;North America;X;X;X;X;N;;;;;0;1;1;0;0;0;0;N;N;Y
Cochliodus;sancti-ludovici;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Kavanaugh's Quarry;St. Louis limestone;North America;X;X;X;X;N;;;;;0;1;1;0;0;0;0;N;N;Y
Cochliodus;sancti-ludovici;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Alton;St. Louis limestone;North America;X;X;X;X;N;;;;;0;1;1;0;0;0;0;N;N;Y
Cochliodus;sancti-ludovici;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;St. Louis;St. Louis limestone;North America;X;X;X;X;N;;;;;0;1;1;0;0;0;0;N;N;Y
Cochliodus;sp.;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Armagh;Carboniferous Limestone;North America;Europe;X;X;X;N;;;;;1;1;1;1;1;1;1;N;N;Y
Cochliodus;sp.;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Bristol;Carboniferous Limestone;North America;Europe;X;X;X;N;;;;;1;1;1;1;1;1;1;N;N;Y
Cochliodus;sp.;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Keokuk;Keokuk Limestone;North America;Europe;X;X;X;N;;;;;1;1;1;1;1;1;1;N;N;Y
Cochliodus;striatus;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Armagh;Carboniferous Limestone;Europe;X;X;X;X;N;54,4;-6,7;-6,1;-1,8;1;1;1;0;0;0;0;N;N;Y
Cochliodus;tenerrimus;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Tournai;;Europe;X;X;X;X;N;;;;;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Cochliodus;tenuis;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Tournaisian;358,9;Tournaisian;346,7;352,8;N;Tournai;;Europe;X;X;X;X;N;;;;;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Cochliodus;triangularis;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Moscovian ;315,2;Moscovian ;307;311,1;N;Myachkovo;;Europe;X;X;X;X;N;55,5;38;12,4;30;NA;NA;NA;NA;NA;NA;NA;N;N;Y
Cochliodus;vanhorni;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;N;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Alton;St. Louis limestone;North America;X;X;X;X;N;;;;;0;1;1;1;1;0;0;N;N;Y
Cochliodus;vanhorni;Cochliodontiformes;Cochliodontidae;;Euchondrocephali;0,5;0,5;0,5;Y;Carboniferous;Visean;346,7;Visean;330,9;338,8;N;Pella;Pella Beds;North America;X;X;X;X;N;;;;;0;1;1;1;1;0;0;N;N;Y
